id,number,french_lemma,pos,preposition_type,is_function_word,core_meaning,english,chinese_translation,example_french,example_english,example_target_form,pattern_1,pattern_2,pattern_3,common_collocations,usage_note,memory_note,range_count,frequency_raw
prep_0001,2,de,"det,prep",simple preposition; also partitive/indefinite determiner,true,source / origin / possession / content / quantity,"of, from, some, any",的；从；关于；一些/若干,il ne rêve que d'argent et de plaisirs,he only dreams of money and pleasure,d',"de + noun: de Paris, de l'argent","verb + de: parler de, avoir besoin de","quantity + de: beaucoup de, peu de",parler de | venir de | avoir besoin de | beaucoup de,De is extremely frequent and can be a preposition or part of a determiner form. It often changes to d’ before a vowel or silent h.,"Do not translate de only as 'of'. Learn it with patterns: parler de, venir de, beaucoup de.",88,1665907
prep_0002,4,à,prep,simple preposition,true,direction / location / relation,"to, at, in",到；在；给；用于地点、方向、关系,ils restent à l'école le plus longtemps possible,they remain at school as long as possible,à,"à + city/place: à Paris, à l'école","verb + à: penser à, parler à","à + time/use: à midi, à faire",aller à | rester à | penser à | parler à | donner à,"À often marks destination, location, time, or an indirect relation. It contracts with le/les: à + le = au, à + les = aux.","Memorize à with the surrounding words, especially verb + à patterns.",93,557546
prep_0003,10,pour,prep,simple preposition,true,purpose / beneficiary / reason,"for, in order to",为了；给；对于；以便,elle jouait pour gagner,she played to win,pour,"pour + noun/pronoun: pour toi, pour le travail",pour + infinitive: pour gagner,"pour + duration/opinion: pour deux jours, pour moi",jouer pour gagner | faire pour | pour moi | pour toujours,"Pour can express purpose, recipient, opinion, or duration depending on context.",Pour is often goal-oriented: for whom? for what purpose?,93,151709
prep_0004,11,dans,prep,simple preposition,true,inside / future time / contained location,"in, into, from",在……里面；进入；多久以后,je reviendrai dans dix minutes,I will return in 10 minutes,dans,dans + place/container: dans la maison,dans + time period: dans dix minutes,dans + abstract domain: dans ce domaine,dans dix minutes | dans la rue | entrer dans | vivre dans,"Dans can mean inside a place, or 'in' after a future time period.","Dans often means inside something, but with time it means after: dans dix minutes.",93,161033
prep_0005,21,par,prep,simple preposition,true,by / through / means / cause,by,通过；由；因为；每,il s'y trouvait par hasard,he found himself there by accident,par,"par + means/cause: par hasard, par téléphone",passive by-agent: fait par quelqu'un,distribution: deux fois par semaine,par hasard | par téléphone | passer par | par semaine,"Par often shows means, route, cause, passive agent, or distribution.",Par answers 'through/by what way?' more than simply 'by'.,87,99628
prep_0006,23,avec,prep,simple preposition,true,accompaniment / instrument / manner,with,和；带着；用,vous voulez aller au ciné avec moi?,do you want to go to a movie with me?,avec,avec + person: avec moi,avec + object/tool: avec un stylo,avec + abstract noun: avec patience,avec moi | travailler avec | parler avec | avec plaisir,"Avec can mark company, tool, or manner.","Avec usually means something is together with the action: person, tool, or attitude.",91,66056
prep_0007,55,entre,prep,simple preposition,true,between / among a limited group,between,在……之间,je marche entre les maisons,I'm walking between the houses,entre,entre + plural noun: entre les maisons,entre + two items: entre A et B,entre + people/group: entre amis,entre nous | entre amis | entre A et B | marcher entre,Entre usually means between two or more clearly identified elements.,"Entre is for space or relationship between items: entre les maisons, entre nous.",86,23028
prep_0008,71,sans,prep,simple preposition,true,absence / without,without,没有；不带；无,je fais plus jeune sans maquillage,I look younger without makeup,sans,sans + noun: sans maquillage,sans + infinitive: sans parler,sans + pronoun: sans toi,sans doute | sans problème | sans arrêt | sans toi,"Sans marks absence and can be followed by a noun, pronoun, or infinitive.",Sans means something is missing from the situation.,81,25099
prep_0009,122,sous,prep,simple preposition,true,under / below / under condition,under,在……下面；受……之下,juste sous ton nez,right under your nose,sous,sous + noun: sous la table,sous + body/place phrase: sous ton nez,sous + abstract condition: sous pression,sous ton nez | sous la table | sous pression | sous contrôle,"Sous usually means physically under, but also appears in abstract expressions.","Sous is the 'under' preposition, both physical and abstract.",84,10840
prep_0010,185,dès,prep,simple preposition / time marker,true,starting from / as soon as,"from, as soon",从……开始；一……就,on me fera signe dès que vous descendrez,they'll wave to me as soon as you get down there,dès,dès + time: dès demain,dès que + clause: dès que vous arrivez,dès + beginning point: dès le début,dès que | dès demain | dès le début | dès maintenant,Dès marks the starting point in time; dès que introduces a time clause.,Dès is stronger and more immediate than depuis: it points to the start moment.,89,4537
prep_0011,206,chez,prep,simple preposition,true,at someone's place / among / in the work of,"at, with",在某人家/处；在……群体中；在……作品中,elle ira peut être vivre définitivement chez lui,she might go live with him permanently,chez,chez + person: chez lui,chez + profession/company: chez le médecin,"chez + group/author: chez les jeunes, chez Proust",chez moi | chez lui | aller chez | chez le médecin,"Chez is used for a person’s home/place, a professional office, a company, or a group.",Chez is not just 'at'. It means at the place/world of a person/group.,78,8646
prep_0012,240,selon,prep,simple preposition,true,according to / depending on,according to,根据；按照；取决于,tout est prêt selon vos désirs,everything's ready according to your wishes,selon,selon + person/source: selon vous,selon + rule/criteria: selon la loi,selon + context: selon le cas,selon moi | selon vous | selon la loi | selon le cas,"Selon introduces a source, opinion, rule, or criterion.",Selon is a source-of-view preposition: according to whom/what?,68,11561
prep_0013,389,parmi,prep,simple preposition,true,among / within a group,among,在……之中；在……当中,il y en a un parmi vous qui est un démon,one among you is a demon,parmi,parmi + plural group: parmi vous,parmi + collective noun: parmi la population,un parmi + group: un parmi vous,parmi vous | parmi les gens | choisir parmi | un parmi,Parmi usually refers to being inside a group or choosing from a group.,"Parmi is 'inside a crowd/group', not simply between two things.",84,3165
prep_0014,406,malgré,prep,simple preposition,true,despite / in spite of,"despite, in spite of",尽管；虽然；不顾,nous serons bons amis malgré tout,we will be good friends in spite of it all,malgré,malgré + noun: malgré la pluie,malgré + pronoun: malgré moi,fixed expression: malgré tout,malgré tout | malgré moi | malgré la pluie | malgré les difficultés,"Malgré is followed by a noun/pronoun phrase, not a full clause in standard usage.","Malgré means the obstacle exists, but the action continues anyway.",85,2886
prep_0015,524,voilà,prep,presentative / deictic expression,true,there is / here is / there you go,"right, there, here",这就是；给你；在那里,"tiens, c'est pour toi. voilà","here, this is for you. take it",voilà,voilà + noun/person: voilà le résultat,voilà + clause: voilà pourquoi,standalone reaction: voilà !,voilà pourquoi | voilà le résultat | me voilà | te voilà,Voilà is often classified as a presentative rather than a normal preposition. It presents or points to something.,Voilà points outward or presents something: 'here/there it is'.,68,5135-n
prep_0016,596,d'après,prep,compound preposition,true,according to / based on,to,根据；按照；据……看来,qui a bâti les pyramides d'après vous?,"according to you, who built the pyramids?",d'après,d'après + person/source: d'après vous,d'après + document/evidence: d'après le rapport,d'après + what was said/seen,d'après moi | d'après vous | d'après le rapport | d'après les données,D'après introduces the source or basis of an opinion/information.,"D'après is close to selon, but often means based on a source/evidence.",90,1183
prep_0017,795,durant,prep,simple preposition,true,during / throughout,"during, for",在……期间；持续……,j'ai travaillé sur ce problème durant toute ma carrière,I have worked on this problem for my entire career,durant,durant + time period: durant toute ma carrière,durant + event: durant la réunion,durant + season/period: durant l'été,durant toute ma carrière | durant la réunion | durant l'été | durant des années,"Durant is used for a duration or period, often more formal than pendant.",Durant focuses on the whole span of a period.,79,2002
prep_0018,1103,voici,prep,presentative / deictic expression,true,here is / here are,"here is, here are, this is, these are",这是；这里有；请看,voici le résultat de l'essai,here's the result of the test,voici,voici + noun/person: voici le résultat,voici + list/explanation,standalone presentation: voici !,voici le résultat | voici pourquoi | me voici | voici la liste,Voici is often classified as a presentative rather than a normal preposition. It presents something close or newly introduced.,Voici points inward/near: 'here is'. Voilà often points outward or concludes.,76,1575
prep_0019,3513,via,prep,borrowed preposition,true,via / by way of / through,via,通过；经由,j'ai déjà fait des interviews via Internet,I have already been interviewed over the Internet,via,via + route/channel: via Internet,via + place: via Paris,via + platform/system,via Internet | via email | via Paris | via une plateforme,"Via is common with routes, channels, networks, and platforms.",Via means the route/channel used to reach something.,65,384
prep_0020,4786,hormis,prep,preposition of exception,true,except / except for,"save, but",除了……以外,"hormis vous, personne n'a vu ce gamin","except for you, nobody saw this kid",hormis,hormis + noun/pronoun: hormis vous,hormis + group/category,formal exception marker,hormis vous | hormis quelques cas | hormis cela | hormis exception,"Hormis is a formal/literary exception preposition, close to excepté/sauf.",Hormis marks what is excluded from the statement.,76,136
